9000166,20220930,1,2355,ST-379,중곡3동_002_2,ST-2285,중화2동_012_1,1,30,3627.13
9000167,20220930,1,2355,ST-2047,가양1동_040_4,ST-2484,방화2동_003_3,1,17,3167.65
9000168,20220930,1,2355,ST-1519,화곡6동_005_1,ST-1011,신월1동_012_1,1,22,4345.22
9000169,20220930,1,2355,ST-850,상봉2동_001_1,ST-1334,상봉2동_034_1,1,11,1490.0
9000170,20220930,1,2355,ST-1184,수서동_025_1,ST-1184,수서동_025_1,1,1,0.0
9000171,20220930,1,2355,ST-204,용강동_030_1,ST-206,용강동_021_1,1,2,500.0
9000172,20220930,1,2355,ST-1690,자양4동_005_2,ST-2310,화양동_038_1,1,59,8060.0
9000173,20220930,1,2355,ST-907,문정2동_034_1,ST-1866,석촌동_002_1,1,18,3420.0
9000174,20220930,1,2355,ST-1360,도곡1동_015_1,ST-781,양재2동_001_1,1,12,2740.0
9000175,20220930,1,2355,ST-1633,길음2동_004_1,ST-3046,종암동_003_1,1,7,944.6
9000176,20220930,1,2355,ST-259,구의2동_033_1,ST-2309,구의1동_026_1,1,10,2104.89
9000177,20220930,1,2355,ST-102,자양1동_003_1,ST-2309,구의1동_026_1,1,17,609.97
9000178,20220930,1,2355,ST-2031,가양1동_039_8,ST-975,방화1동_055_2,1,4,817.57
9000179,20220930,1,2355,ST-1305,서초1동_009_1,ST-1905,서초4동_001_1,1,4,561.45
9000180,20220930,1,2355,ST-3142,영등포본동_015_4,ST-1321,영등포동_036_1,1,2,714.51
9000181,20220930,1,2355,ST-2747,둔촌2동_032_1,ST-495,성내3동_014_1,1,7,825.72
9000182,20220930,1,2355,ST-2308,화양동_041_2,ST-381,구의3동_018_2,2,23,3758.45
9000183,20220930,1,2355,ST-317,신정3동_028_1,ST-420,영등포동_027_1,1,42,6110.0
9000184,20220930,1,2355,ST-2939,위례동_001_3,ST-1854,장지동_066_1,1,17,3602.79
9000185,20220930,1,2355,ST-1416,위례동_002_1,ST-1417,위례동_011_1,1,10,1805.0
9000186,20220930,1,2355,ST-1409,잠실4동_055_1,ST-2592,오륜동_001_7,2,36,5016.33
9000187,20220930,1,2355,ST-2137,번1동_030_2,ST-1469,창2동_036_1,1,9,1475.46
9000188,20220930,1,2355,ST-691,상도1동_049_1,ST-691,상도1동_049_1,1,0,0.0
9000189,20220930,1,2355,ST-539,잠실7동_001_1,ST-1923,잠원동_020_1,2,164,20733.62
9000190,20220930,1,2355,ST-520,가양3동_011_3,ST-1531,구로1동_002_2,1,35,9400.0
9000191,20220930,1,2355,ST-1236,신도림동_062_1,ST-1219,구로1동_001_1,1,13,1900.0
9000192,20220930,1,2355,ST-1268,보라매동_002_1,ST-1270,신림동_030_1,1,4,10.0
9000193,20220930,1,2355,ST-2353,대방동_015_2,ST-68,여의동_054_1,1,9,1670.0
9000194,20220930,1,2355,ST-70,여의동_016_1,ST-63,여의동_045_1,1,5,760.0
9000195,20220930,1,2355,ST-2903,황학동_007_1,ST-369,왕십리도선동_018_1,1,28,7040.0
9000196,20220930,1,2355,ST-2952,신내1동_047_1,ST-2715,공릉1동_019_1,1,21,4678.75
9000197,20220930,1,2355,ST-2264,역촌동_073_1,ST-479,역촌동_068_1,2,6,1031.51
9000198,20220930,1,2355,ST-1694,화곡3동_003_1,ST-2538,발산1동_012_5,1,5,1221.68
9000199,20220930,1,2355,ST-2762,신정4동_052_1,ST-3104,목1동_016_2,1,71,6317.18
9000200,20220930,1,2355,ST-170,가회동_004_1,ST-1804,삼청동_001_3,1,2,760.0
9000201,20220930,1,2355,ST-1585,잠실3동_070_2,ST-1859,석촌동_003_1,1,9,1131.58
9000202,20220930,1,2355,ST-2226,삼선동_002_2,ST-947,삼선동_001_1,1,3,620.0
9000203,20220930,1,2355,ST-2117,쌍문2동_017_1,ST-2849,쌍문4동_009_1,1,23,897.35
9000204,20220930,1,2355,ST-447,마장동_033_1,ST-1095,면목4동_032_1,1,28,5876.6
9000205,20220930,1,2355,ST-1278,상계6·7동_033_1,ST-1285,중계2·3동_045_1,1,5,657.94
9000206,20220930,1,2355,ST-312,신정4동_049_1,ST-535,화곡8동_049_1,1,27,1880.0
9000207,20220930,1,2355,ST-2605,문정2동_036_1,ST-2988,위례동_001_4,1,20,2383.08
9000208,20220930,1,2355,ST-392,전농1동_052_1,ST-2501,답십리2동_031_1,1,11,1492.54
9000209,20220930,1,2355,ST-513,가양1동_049_1,ST-513,가양1동_049_1,1,0,0.0
9000210,20220930,1,2355,ST-733,신대방2동_027_3,ST-724,서원동_043_1,1,31,3320.0
9000211,20220930,1,2355,ST-2721,상계8동_001_1,ST-3119,방학1동_040_1,2,107,14043.81
9000212,20220930,1,2355,ST-794,청담동_014_1,ST-825,성북동_015_2,1,80,13680.0
9000213,20220930,1,2355,ST-479,역촌동_068_1,ST-2264,역촌동_073_1,1,3,444.78
9000214,20220930,1,2355,ST-2177,한강로동_008_1,ST-2240,이촌2동_011_2,4,119,11939.39
9000215,20220930,1,2355,ST-1441,보광동_029_1,ST-1441,보광동_029_1,2,104,39629.45
9000216,20220930,1,2355,ST-1174,압구정동_044_1,ST-825,성북동_015_2,1,78,13598.3
9000217,20220930,1,2355,ST-1441,보광동_029_1,ST-1629,전농1동_038_1,1,54,8903.26
9000218,20220930,1,2355,ST-1352,발산1동_070_1,ST-2993,발산1동_060_2,1,3,890.0
9000219,20220930,1,2355,ST-2045,가양1동_039_16,ST-2022,방화3동_028_1,2,45,4588.27
9000220,20220930,1,2355,ST-2033,가양1동_039_10,ST-2022,방화3동_028_1,1,14,2624.83
9000221,20220930,1,2355,ST-712,남현동_025_1,ST-760,방배4동_011_1,1,11,1126.08
9000222,20220930,1,2355,ST-1168,양재2동_023_1,ST-1922,양재1동_012_1,1,6,1120.0
9000223,20220930,1,2355,ST-949,방배본동_011_1,ST-935,방배4동_002_1,1,24,2110.64
9000224,20220930,1,2355,ST-2040,가양1동_040_3,ST-1062,공항동_006_1,1,17,1769.96
9000225,20220930,1,2355,ST-849,면목3·8동_050_1,ST-2843,중곡3동_002_1,1,10,2066.32
9000226,20220930,1,2355,ST-150,종로1·2·3·4가동_010_1,ST-171,이화동_011_1,1,9,1396.99
9000227,20220930,1,2355,ST-2305,자양3동_002_1,ST-99,자양3동_050_1,1,5,1440.0
9000228,20220930,1,2355,ST-2593,잠실2동_031_1,ST-1797,잠실2동_024_1,1,2,30.0
9000229,20220930,1,2355,ST-1958,오류2동_078_1,ST-2997,오류1동_040_1,1,13,1720.0
9000230,20220930,1,2355,ST-1546,조원동_004_1,ST-727,신대방1동_045_1,1,4,820.0
9000231,20220930,1,2355,ST-1912,반포2동_018_1,ST-2363,사당1동_034_1,1,17,2973.0
9000232,20220930,1,2355,ST-2633,신내1동_038_1,ST-2636,망우본동_045_1,1,8,1300.0
9000233,20220930,1,2355,ST-1793,가락1동_001_2,ST-823,일원2동_002_1,1,30,4340.0
9000234,20220930,1,2355,ST-2018,염창동_055_4,ST-1508,염창동_055_3,1,3,300.0
9000235,20220930,1,2355,ST-1111,공릉1동_067_1,ST-1335,면목2동_039_1,1,19,4006.59
9000236,20220930,1,2355,ST-2481,화곡본동_007_1,ST-426,당산2동_017_1,1,45,4197.1
9000237,20220930,1,2355,ST-669,구로3동_008_1,ST-1357,신사동_012_1,1,17,3090.21
9000238,20220930,1,2355,ST-714,은천동_051_1,ST-1259,신림동_019_1,1,5,1090.0
