,보관소(대여소)명,자치구,상세주소,위도,경도,shortest_road,법정동,shortest_subway,shortest_subway_meter,public_place_in_100m,shortest_bus,shortest_bus_meter
116, 시청역(2호선) 9번출구 뒤,중구,서울특별시 중구 서소문로 지하127 시청역(2호선) 9번출구 뒤,37.56322861,126.9748383,서소문로,서소문동,시청,259.9,0,서소문,5.0
117, 동대입구역 6번출구 뒤,중구,서울특별시 중구 동호로 지하256 동대입구역 6번출구 뒤,37.55887222,127.0055389,동호로,장충동2가,동대입구,20.7,0,신라호텔,63.9
118, 약수역 3번출구 뒤,중구,서울특별시 중구 다산로 지하122 약수역 4번출구 뒤,37.55429459,127.0112,동호로,신당동,약수,48.4,0,약수역4번출구.금호터널입구,122.6
119, 청구역 2번출구 앞,중구,서울특별시 중구 청구로 77 청구역 5.6호선,37.5604744,127.0140762,청구로,신당동,청구,33.6,0,청구역,61.7
120, 서울역9번출구,중구,서울특별시 중구 세종대로 지하2 서울역9번출구,37.55599976,126.9733582,후암로60길,봉래동2가,서울,165.8,0,서울역버스환승센터.강우규의거터,54.8
121, CJ제일제당 앞,중구,서울특별시 중구 동호로 330 CJ제일제당 앞,37.56386566,127.0027466,마른내로,쌍림동,동대문역사문화공원,476.4,1,퇴계로6가,61.6
122, 장충체육관,중구,서울특별시 중구 장충동2가 200-99 장충체육관,37.55853271,127.0069885,동호로,장충동2가,동대입구,135.4,0,장충체육관앞,70.5
123, 약수역 10번출구 앞,중구,서울특별시 중구 신당동 357-1 약수역 10번출구 앞,37.55519867,127.0100479,동호로,신당동,약수,109.4,1,약수역1번출구,138.0
124, 신당역 12번 출구 뒤,중구,서울특별시 중구 신당동 99 신당역 5번 출구,37.5658493,127.0164032,퇴계로75길,흥인동,신당,125.9,1,충무아트센터.스포츠센터.중부소방서,173.4
125, 종로학원본원,중구,서울특별시 중구 청파로 456 종로학원본원 앞,37.55978012,126.9685059,청파로,중림동,충정로,427.6,0,한국경제신문사.서소문역사공원,73.9
126, 훈련원공원주차장 앞,중구,서울특별시 중구 을지로 227 훈련원공원주차장 앞,37.56699371,127.0034638,을지로38길,을지로5가,종로5가,459.2,1,아카시아호텔.웨스턴코업레지던스,49.2
127, 을지로4가역 1번출구,중구,서울특별시 중구 을지로 지하 178 을지로4가역 1번출구,37.5667305,126.9966049,을지로,을지로4가,을지로4가,132.3,0,을지로4가,35.4
128, 충무로역 1번출구,중구,서울특별시 중구 퇴계로 212 충무로역 1번출구,37.56138992,126.9953537,퇴계로,충무로4가,충무로,96.3,1,충무로역.호텔피제이,40.7
129, 시립미술관,중구,서울특별시 중구 덕수궁길 61 서울시립미술관,37.56505203,126.9734039,서소문로11길,서소문동,시청,329.3,1,서소문KAL빌딩,208.0
130, 을지로3가역 3번출구,중구,서울특별시 중구 을지로 지하 129 을지로3가역 3번출구,37.56655884,126.9924393,을지로13길,을지로3가,을지로3가,55.2,0,을지로3가,10.4
131, 서울역 센트럴 자이아파트,중구,서울특별시 중구 만리재로 175 서울역 센트럴 자이아파트,37.55410767,126.9654083,만리재로,만리동2가,충정로,668.8,0,손기정체육공원입구,82.0
132, 명보사거리,중구,서울특별시 중구 을지로 지하 129 명보사거리,37.56439972,126.9914322,수표로12길,초동,을지로3가,214.5,0,을지로3가,191.2
133, 송도병원,중구,서울특별시 중구 다산로 59-1 송도병원,37.54988861,127.0073471,다산로5길,신당동,버티고개,209.8,0,송도병원앞,37.8
134, 장충동먹자골목 앞,중구,서울특별시 중구 장충단로 192 KEB하나은행 장충동지점,37.56207275,127.0063171,장충단로7길,장충동1가,동대입구,341.2,0,장충동써미트호텔,55.3
135, 청계천 영도교,중구,서울특별시 중구 청계천로 400 롯데캐슬베네치아,37.5710144,127.0197449,난계로21길,황학동,동묘앞,343.3,0,청계8가.영도교,90.7
136, 을지로입구역 2번출구,중구,서울특별시 중구 을지로 지하 42 을지로입구역 1번출구,37.56634521,126.9822922,을지로3길,을지로1가,을지로입구,46.7,0,을지로입구.시청입구,101.7
137, 신당 래미안 버스정류장,중구,서울특별시 중구 퇴계로90길 74 신당 레미안 버스정류장 (112동 인근),37.56148911,127.0239334,난계로,신당동,상왕십리,574.9,0,금호베스트빌.래미안하이베르,6.6
138, SK 남산빌딩,중구,서울특별시 중구 퇴계로 33 SK 남산빌딩,37.55686188,126.9756165,소월로,남대문로5가,회현,296.0,0,힐튼호텔,100.2
139, 서울역 서부교차로2,중구,서울특별시 중구 퇴계로 33 서울역 서부교차로2,37.55536652,126.9686432,청파로95길,서계동,서울,355.1,0,서울의료보건고등학교.서울역서부,90.0
140,염천교사거리,중구,서울특별시 중구 칠패로 5 서소문공원,37.55989075,126.9714966,칠패로,순화동,서울,589.4,1,염천교,47.1
141,서울역 서부,중구,서울특별시 중구 퇴계로 33 서울로7017편의시설,37.55641556,126.9691925,만리재로,만리동1가,서울,356.3,0,서울역서부,19.1
142,호암아트홀,중구,서울특별시 중구 세종대로7길 57-1 구두수선대207 호암아트홀,37.5621109,126.9707184,서소문로,순화동,서대문,543.1,0,프레이저플레이스,7.9
143,대한상공회의소,중구,서울특별시 중구 세종대로 39 대한서울상공회의소,37.56015396,126.9741058,세종대로7길,남대문로4가,회현,408.6,0,숭례문(가상),45.4
144,롯데호텔,중구,서울특별시 중구 을지로 30 롯데호텔,37.56584167,126.9798126,남대문로9길,을지로1가,을지로입구,248.6,0,을지로입구역롯데호텔,43.7
145,한국은행,중구,서울특별시 중구 남대문로3가 110-8,37.5622139,126.9808655,소공로,남대문로3가,을지로입구,449.3,1,중앙우체국,93.5
146,웨스틴 조선호텔,중구,서울특별시 중구 소공로 106 서울 웨스틴조선호텔,37.56415939,126.9794846,세종대로18길,소공동,시청,218.9,0,소공동웨스틴조선호텔,20.3
147,회현역 1번출구,중구,서울특별시 중구 퇴계로 72 리더스뷰남산,37.5592308,126.9801407,퇴계로10길,회현동1가,회현,185.4,0,남대문시장.회현역,169.3
148,회현역 7번출구,중구,서울특별시 중구 회현동1가 23-1,37.55974579,126.9800034,남대문시장10길,회현동1가,회현,206.9,1,남대문시장,160.5
149,회현사거리 남측,중구,서울특별시 중구 퇴계로 100 스테이트타워 남산,37.56035995,126.9826508,퇴계로14길,회현동2가,명동,332.1,1,남산3호터널.서울애니메이션센터,92.6
150,삼일교(시그니쳐 타워),중구,서울특별시 중구 수표동 99-1,37.56787109,126.9884033,청계천로,수표동,을지로3가,355.8,0,청계2가.삼일교,11.7
151,을지로4가역 9번출구,중구,서울특별시 중구 을지로 170,37.56605148,126.9979858,창경궁로,을지로4가,을지로4가,99.1,0,을지로4가.베스트웨스턴국도,107.8
152,동대문역사문화공원역 1번출구 뒤편,중구,서울특별시 중구 을지로7가 143,37.56629944,127.0084915,장충단로,을지로7가,동대문역사문화공원,139.2,0,동대문디자인플라자.동대문시장,64.2
