"아이디","새주소 아이디","시설 아이디","시설명","위도","경도","건물군여부","시설용도분류","소재지 도로명주소","소재지 지번주소","기타","국가지점번호","데이터 기준일자"
"2465","","P0335","등나무근린공원","37.640118","127.06711","","FU_BI","서울특별시 노원구 동일로 1238","서울특별시 노원구 중계동 508","","다사 6180 6015","2022-12-07 00:00:00.0"
"2466","","P0336","당인동문화공원","37.5454","126.92012","","FU_BI","서울특별시 마포구 와우산로3길 49","서울특별시 마포구 당인동 27-9","","다사 4877 4972","2022-12-07 00:00:00.0"
"2469","","P0339","DMC문화공원","37.578056","126.892365","","FU_BI","서울특별시 마포구 월드컵북로 366","서울특별시 마포구 상암동 1612","","다사 4634 5335","2022-12-07 00:00:00.0"
"2470","","P0340","휴암문화공원","37.58292","126.88039","","FU_BI","서울특별시 마포구 월드컵북로 481","서울특별시 마포구 상암동 1748","","다사 4529 5390","2022-12-07 00:00:00.0"
"2471","","P0341","홍익문화공원","37.552265","126.923325","","FU_BI","서울특별시 마포구 와우산로21길 14","서울특별시 마포구 서교동 358-36","","다사 4906 5048","2022-12-07 00:00:00.0"
"2472","","P0342","밤섬공원","37.542843","126.931885","","FU_BI","서울특별시 마포구 신수로3길 47","서울특별시 마포구 신정동 76-1","","다사 4981 4943","2022-12-07 00:00:00.0"
"2473","","P0343","서강나루문화공원","37.545273","126.93109","","FU_BI","","서울특별시 마포구 창전동 165-5","","다사 4974 4970","2022-12-07 00:00:00.0"
"2476","","P0346","상길례문화공원","37.61972","127.04537","","FU_BI","서울특별시 성북구 돌곶이로 220","서울특별시 성북구 장위동 319-2","","다사 5987 5790","2022-12-07 00:00:00.0"
"2477","","P0347","마로니에공원","37.580482","127.00271","","FU_BI","서울특별시 종로구 대학로 104","서울특별시 종로구 동숭동 1-124","","다사 5609 5357","2022-12-07 00:00:00.0"
"2481","","P0351","개포목련어린이공원","37.474285","127.05245","","FU_BI","서울특별시 강남구 논현로6길 36-6","서울특별시 강남구 개포동 1176","","다사 6042 4176","2022-12-07 00:00:00.0"
"2482","","P0352","개포은행나무공원","37.476032","127.049065","","FU_BI","서울특별시 강남구 개포로20길 48","서울특별시 강남구 개포동 1220","","다사 6012 4196","2022-12-07 00:00:00.0"
"2484","","P0354","예지공원","37.49198","127.07317","","FU_BI","서울특별시 강남구 개포로 605","서울특별시 강남구 개포동 12-7","","다사 6226 4372","2022-12-07 00:00:00.0"
"2486","","P0356","논현목련공원","37.510868","127.02671","","FU_BI","서울특별시 강남구 강남대로126길 54","서울특별시 강남구 논현동 137-19","","다사 5817 4583","2022-12-07 00:00:00.0"
"2487","","P0357","개나리공원","37.511322","127.02993","","FU_BI","서울특별시 강남구 논현로123길 19","서울특별시 강남구 논현동 150-5","","다사 5845 4588","2022-12-07 00:00:00.0"
"2488","","P0358","논현까치공원","37.508514","127.0251","","FU_BI","서울특별시 강남구 학동로4길 43-12","서울특별시 강남구 논현동 162-8","","다사 5802 4557","2022-12-07 00:00:00.0"
"2489","","P0359","무궁화공원","37.50667","127.0307","","FU_BI","서울특별시 강남구 논현로111길 39","서울특별시 강남구 논현동 205-7","","다사 5852 4536","2022-12-07 00:00:00.0"
"2490","","P0360","논현소나무공원","37.515713","127.03744","","FU_BI","서울특별시 강남구 학동로 318","서울특별시 강남구 논현동 239-1","","다사 5912 4637","2022-12-07 00:00:00.0"
"2491","","P0361","학동어린리공원","37.51151","127.03893","","FU_BI","서울특별시 강남구 학동로42길 67-16","서울특별시 강남구 논현동 263-23","","다사 5925 4590","2022-12-07 00:00:00.0"
"2497","","P0367","도곡까치공원","37.48315","127.045166","","FU_BI","서울특별시 강남구 논현로26길 34","서울특별시 강남구 도곡동 455","","다사 5978 4275","2022-12-07 00:00:00.0"
"2498","","P0368","삼성목련공원","37.518566","127.05393","","FU_BI","서울특별시 강남구 삼성로120길 35-3","서울특별시 강남구 삼성동 60","","다사 6058 4667","2022-12-07 00:00:00.0"
"2499","","P0369","삼성까치공원","37.518303","127.0606","","FU_BI","서울특별시 강남구 봉은사로105길 54-1","서울특별시 강남구 삼성동 85-16","","다사 6117 4664","2022-12-07 00:00:00.0"
"2500","","P0370","아랫반고개어린이공원","37.463898","127.10711","","FU_BI","서울특별시 강남구 밤고개로34길 10","서울특별시 강남구 세곡동 129-13","","다사 6525 4059","2022-12-07 00:00:00.0"
"2501","","P0371","은곡마을공원","37.46804","127.100464","","FU_BI","서울특별시 강남구 헌릉로571길 34-11","서울특별시 강남구 세곡동 369-3","","다사 6466 4105","2022-12-07 00:00:00.0"
"2502","","P0372","세곡천어린이공원","37.4632","127.10127","","FU_BI","서울특별시 강남구 헌릉로590길 88","서울특별시 강남구 세곡동 522-1","","다사 6473 4051","2022-12-07 00:00:00.0"
"2493","","P0363","대치까치공원","37.496983","127.0592","","FU_BI","서울특별시 강남구 도곡로78길 22","서울특별시 강남구 대치동 1014-3","","다사 6103 4428","2022-12-07 00:00:00.0"
"2503","","P0373","대왕어린이공원","37.462276","127.1046","","FU_BI","서울특별시 강남구 헌릉로590길 33","서울특별시 강남구 세곡동 526-2","","다사 6503 4041","2022-12-07 00:00:00.0"
"2504","","P0374","행복어린이공원","37.467266","127.09716","","FU_BI","서울특별시 강남구 헌릉로571길 70-1","서울특별시 강남구 세곡동 546","","다사 6437 4097","2022-12-07 00:00:00.0"
"2505","","P0375","도담어린이공원","37.46728","127.09869","","FU_BI","서울특별시 강남구 헌릉로571길 56-1","서울특별시 강남구 세곡동 548","","다사 6451 4097","2022-12-07 00:00:00.0"
"2506","","P0376","윗반고개공원","37.4657","127.10915","","FU_BI","서울특별시 강남구 밤고개로31길 9","서울특별시 강남구 세곡동 102-30","","다사 6543 4079","2022-12-07 00:00:00.0"
"2507","","P0377","궁마을공원","37.48485","127.09942","","FU_BI","서울특별시 강남구 광평로42길 20","서울특별시 강남구 수서동 465-15","","다사 6458 4292","2022-12-07 00:00:00.0"
"2508","","P0378","수서은행나무어린이공원","37.49126","127.099754","","FU_BI","서울특별시 강남구 광평로51길 49","서울특별시 강남구 수서동 707-1","","다사 6461 4363","2022-12-07 00:00:00.0"
"2509","","P0379","수서목련어린이공원","37.49058","127.10372","","FU_BI","서울특별시 강남구 광평로51길 22","서울특별시 강남구 수서동 712-1","","다사 6496 4355","2022-12-07 00:00:00.0"
"2510","","P0380","수서개나리어린이공원","37.48754","127.10542","","FU_BI","서울특별시 강남구 광평로56길 11","서울특별시 강남구 수서동 723-1","","다사 6511 4321","2022-12-07 00:00:00.0"
"2511","","P0381","수서까치공원","37.487164","127.09795","","FU_BI","서울특별시 강남구 광평로47길 17","서울특별시 강남구 수서동 736-1","","다사 6445 4317","2022-12-07 00:00:00.0"
"2512","","P0382","일원새싹공원","37.484795","127.08909","","FU_BI","서울특별시 강남구 광평로19길 10","서울특별시 강남구 수서동 746-1","","다사 6367 4291","2022-12-07 00:00:00.0"
"2513","","P0383","신사은행나무공원","37.520596","127.02604","","FU_BI","서울특별시 강남구 논현로153길 27","서울특별시 강남구 신사동 558-1","","다사 5811 4691","2022-12-07 00:00:00.0"
"2514","","P0384","신사목련공원","37.522915","127.02583","","FU_BI","서울특별시 강남구 논현로161길 31","서울특별시 강남구 신사동 567-2","","다사 5810 4717","2022-12-07 00:00:00.0"
"2517","","P0387","신사무궁화공원","37.524155","127.03194","","FU_BI","서울특별시 강남구 언주로159길 15","서울특별시 강남구 신사동 625-2","","다사 5864 4730","2022-12-07 00:00:00.0"
"2518","","P0388","압구정은행나무공원","37.53072","127.03144","","FU_BI","서울특별시 강남구 압구정로 201","서울특별시 강남구 압구정동 459","","다사 5860 4803","2022-12-07 00:00:00.0"
"2520","","P0390","역삼은행나무공원","37.505447","127.03126","","FU_BI","서울특별시 강남구 봉은사로22길 20","서울특별시 강남구 역삼동 611","","다사 5857 4523","2022-12-07 00:00:00.0"
"2524","","P0394","역삼까치공원","37.49725","127.03075","","FU_BI","서울특별시 강남구 강남대로84길 23","서울특별시 강남구 역삼동 824-10","","다사 5852 4432","2022-12-07 00:00:00.0"
"2525","","P0395","역삼무궁화공원","37.493984","127.03228","","FU_BI","서울특별시 강남구 역삼로 117","서울특별시 강남구 역삼동 830-23","","다사 5865 4396","2022-12-07 00:00:00.0"
"2526","","P0396","역삼소나무공원","37.490986","127.03371","","FU_BI","서울특별시 강남구 강남대로62길 23","서울특별시 강남구 역삼동 836-21","","다사 5877 4362","2022-12-07 00:00:00.0"
"2527","","P0397","아래방죽마을공원","37.473278","127.10823","","FU_BI","서울특별시 강남구 밤고개로23길 12","서울특별시 강남구 율현동 194-1","","다사 6535 4163","2022-12-07 00:00:00.0"
"2530","","P0400","목련공원","37.491455","127.08558","","FU_BI","서울특별시 강남구 양재대로47길 20","서울특별시 강남구 일원동 658","","다사 6336 4365","2022-12-07 00:00:00.0"
"2531","","P0401","일원까치어린이공원","37.492096","127.088196","","FU_BI","서울특별시 강남구 양재대로55길 14","서울특별시 강남구 일원동 712-4","","다사 6359 4372","2022-12-07 00:00:00.0"
"2535","","P0405","일원개나리공원","37.48298","127.0764","","FU_BI","서울특별시 강남구 광평로10길 6","서울특별시 강남구 일원동 730-3","","다사 6254 4272","2022-12-07 00:00:00.0"
"2537","","P0407","상록수공원","37.482124","127.08221","","FU_BI","서울특별시 강남구 광평로10길 15","서울특별시 강남구 일원동 734-1","","다사 6306 4262","2022-12-07 00:00:00.0"
"2539","","P0409","쟁골어린이공원","37.48194","127.10209","","FU_BI","서울특별시 강남구 밤고개로12길 33-6","서울특별시 강남구 자곡동 233-2","","다사 6482 4259","2022-12-07 00:00:00.0"
"2976","","P0846","갈대밭어린이공원","37.674343","127.04581","","FU_BI","서울특별시 도봉구 도봉로160길 15-4","서울특별시 도봉구 도봉동 625-123","공사중","다사 5994 6396","2022-12-07 00:00:00.0"
"2541","","P0411","청담목련공원","37.522995","127.049835","","FU_BI","서울특별시 강남구 도산대로92길 10","서울특별시 강남구 청담동 50-5","","다사 6022 4717","2022-12-07 00:00:00.0"
"2542","","P0412","청담은행나무어린이공원","37.525158","127.04406","","FU_BI","서울특별시 강남구 도산대로67길 15","서울특별시 강남구 청담동 94-4","","다사 5971 4741","2022-12-07 00:00:00.0"
"2551","","P0421","무궁화공원","37.542202","127.14537","","FU_BI","서울특별시 강동구 천중로51길 36-10","서울특별시 강동구 길동 340-12","","다사 6867 4926","2022-12-07 00:00:00.0"
"2552","","P0422","희망공원","37.539047","127.14228","","FU_BI","서울특별시 강동구 천중로50길 48-12","서울특별시 강동구 길동 365-1","","다사 6839 4891","2022-12-07 00:00:00.0"
"2553","","P0423","성심어린이공원","37.538326","127.13757","","FU_BI","서울특별시 강동구 천중로40길 66","서울특별시 강동구 길동 386-1","","다사 6798 4884","2022-12-07 00:00:00.0"
"2556","","P0426","명우공원","37.55155","127.14147","","FU_BI","서울특별시 강동구 구천면로65길 12","서울특별시 강동구 명일동 312-256","","다사 6833 5030","2022-12-07 00:00:00.0"
"2557","","P0427","고명공원","37.552513","127.143364","","FU_BI","서울특별시 강동구 고덕로38길 39-10","서울특별시 강동구 명일동 312-30","","다사 6849 5041","2022-12-07 00:00:00.0"
