Unnamed: 0,보관소(대여소)명,자치구,상세주소,위도,경도,shortest_road,법정동,shortest_subway,shortest_subway_meter,public_place_in_100m
657, 삼성전자서비스 성북센터,성북구,서울특별시 성북구 월계로 28 삼성전자서비스 성북센터,37.610569,127.0335083,월계로,하월곡동,미아사거리,429.4,0
658, 광운초등학교 앞,성북구,서울특별시 성북구 장위동 134-27,37.61784363,127.0550003,돌곶이로32길,장위동,돌곶이,820.7,0
659, 성북쉼터 앞,성북구,서울특별시 성북구 성북로21길 32 성북쉼터 앞,37.59261703,126.9979324,혜화로,성북동,한성대입구,865.4,2
660, 한성대7번출구 앞,성북구,서울특별시 성북구 동소문로 11 한성대7번출구 앞,37.58924866,127.0073776,성북로2길,동소문동1가,한성대입구,134.7,0
661, 아리랑시네센터 앞,성북구,서울특별시 성북구 아리랑로 82 아리랑시네센터 앞,37.60028839,127.0137024,아리랑로12길,돈암동,정릉,279.2,2
662, 길음8골어린이공원 옆,성북구,서울특별시 성북구 길음로13길 22 길음8골어린이공원 옆,37.60897827,127.0202484,길음로,길음동,길음,749.9,2
663, 길음래미안아파트817동 상가 앞,성북구,서울특별시 성북구 길음로 33 길음래미안아파트817동 상가 앞,37.60710526,127.0214996,삼양로9길,길음동,길음,516.7,0
664, 성북제일새마을금고 본점 앞,성북구,서울특별시 성북구 길음로 20 성북제일새마을금고 본점 앞,37.60475159,127.0227585,길음로,길음동,길음,251.6,2
665, 월계2교 버스정류장 앞,성북구,서울특별시 성북구 한천로101길 18 월계2교 버스정유장 앞,37.62382889,127.0502014,우이천동자전거길,장위동,광운대,1027.2,1
666, 안암2교 옆,성북구,서울특별시 성북구 안암로 17 SK제삼주유소 앞,37.5794487,127.0241928,안암로5길,안암동4가,신설동,467.5,0
