,보관소(대여소)명,자치구,위도,경도,public_place_in_100m,public_transport_in_100m,total_schools_in_100m,population_per_station,area_per_station,거치대 개수
190, 중부세무서 앞,중구,37.56092453,126.9906616,0,0,0,0,0,5
191, 목월공원 앞,용산구,37.53243256,126.9547424,0,2,0,33,211.845,15
192, 한강진역 2번 출구 앞,용산구,37.54115295,127.0022125,0,4,0,0,0,10
193, 한남초교 앞 보도육교,용산구,37.53813934,127.004097,1,0,0,55,154.14,10
194, 문배어린이공원 앞,용산구,37.53675842,126.9700012,1,2,0,164,268.34,9
195, 전자랜드 본관 앞,용산구,37.5330658,126.9607315,2,0,0,10,0,20
196, 서울역 12번 출구 앞,용산구,37.55227661,126.9726868,0,0,0,0,245.97,10
197, 서빙고동 금호맨션 앞,용산구,37.520504,126.9897385,0,4,0,42,124.11,10
198, 한남 유수지 복개주차장,용산구,37.53016663,127.0074387,0,2,0,22,77.28,10
199, 이태원지하보도,용산구,37.53841019,126.9866486,0,3,0,14,192.94,10
200, 녹사평역1번출구,용산구,37.53507996,126.9853821,0,4,0,0,0,20
201, 용산전쟁기념관,용산구,37.53483963,126.9776611,0,1,0,0,0,10
202, 삼각지역 3번출구,용산구,37.53351212,126.9722748,0,0,0,0,108.035,20
203, LIG강촌아파트 103동앞,용산구,37.51850891,126.9787979,0,2,0,912,339.36,30
204, 신용산역 6번출구 앞,용산구,37.53014755,126.968483,0,2,0,130,238.48,20
205, 삼각지역 4번출구 앞,용산구,37.53345108,126.9717331,0,0,0,0,108.035,9
206, 숙명여대 입구 교차로,용산구,37.54489517,126.9693832,0,2,0,162,164.22,12
207, 선린인터넷 고등학교,용산구,37.54165268,126.9705048,0,3,0,0,275.25,12
208, 청파동입구 교차로,용산구,37.54902649,126.9719467,0,2,0,51,259.27,10
209, 이촌1동 마을공원,용산구,37.52202606,126.9661865,0,2,0,15,0,10
210, 효창동주민센터 앞,용산구,37.54232025,126.9619598,0,2,0,227,178.11,10
211, 서빙고동 주민센터 앞,용산구,37.52033615,126.9942627,0,2,0,267,109.3,15
212, 국군복지단,용산구,37.54188538,126.97966,0,0,0,0,0,14
213, 숙대입구역 8번,용산구,37.54407883,126.9720001,0,5,0,13,115.565,7
214, 베르가모앞,용산구,37.52293015,126.9616928,0,0,0,10,105.925,40
215, 청암자이아파트앞,용산구,37.53442383,126.9485703,0,4,0,496,248.04,10
216, 이태원관광특구입구,용산구,37.53427887,126.9885635,0,0,0,35,132.35,10
217, 이촌1동 주민센터 뒤,용산구,37.5212822,126.973465,0,0,0,884,0,20
218, 효창공원앞역 3번출구 뒤,용산구,37.53900909,126.96138,0,5,0,178,174.18,15
219, 남영역 건너편,용산구,37.54198074,126.9715424,0,5,0,23,228.25,10
220, 현대자동차서비스 앞,용산구,37.53142166,126.9514999,0,0,0,0,0,15
221, 한남나들목 입구,용산구,37.52906036,127.0067291,0,0,0,0,0,10
222, 숙대입구역 4번출구,용산구,37.5444603,126.9723892,0,3,0,13,115.565,8
223, 보광동 삼성리버빌아파트 앞,용산구,37.5240097,127.0014496,0,1,2,637,88.62,10
224, 용산 파크타워 앞,용산구,37.52365112,126.9702683,0,2,0,61,60.37,10
225, 신용산역 1번 출구,용산구,37.52960968,126.9688721,1,1,0,6,1081.35,30
226, 녹사평역 광장,용산구,37.53379822,126.9886704,0,0,0,20,129.2,19
227, 이촌2동 동원베네스트 아파트 앞,용산구,37.5271492,126.9551621,1,2,0,343,149.31,15
228, 용산 선인상가,용산구,37.53269958,126.9643784,1,3,0,0,0,16
229, 용산중학교,용산구,37.54650116,126.9809494,0,3,2,189,177.35,15
230, 삼각지12번 출구,용산구,37.53488922,126.9756241,1,1,0,0,184.58,10
231, 삼각지 자이아파트,용산구,37.53607941,126.9734192,0,2,1,12,187.09,20
232, KCC용산월츠타워,용산구,37.53739929,126.9689255,0,2,0,736,511.66,15
233,효창 푸르지오 앞,용산구,37.54047775,126.9581146,0,4,0,481,204.19,10
234,청암자이APT(103동),용산구,37.53452682,126.9471817,0,2,0,0,0,30
235,용산역 맞은편,용산구,37.52856827,126.9656906,0,5,0,0,0,19
236,HID 유족동지회 앞,용산구,37.53872681,127.0015488,0,0,0,0,119.36,10
237,이촌역5번출구 앞,용산구,37.52272415,126.9727707,0,0,0,265,0,10
238, 현대 안성타워,용산구,37.53502274,126.9980545,0,4,0,99,279.05,10
239,녹사평역3번 출구,용산구,37.53440857,126.9868927,0,2,0,0,0,10
240,남산공원 야외식물원 앞,용산구,37.54188538,126.9958649,0,1,0,28,105.81,10
241,LG한강 자이아파트 앞,용산구,37.52074814,126.9708252,0,2,0,666,0,22
242,이촌역2번 출구,용산구,37.52177048,126.977005,0,0,0,0,0,10
243,순천향대학병원(한남오거리),용산구,37.53514099,127.0060043,0,5,0,0,0,10
244,하얏트호텔 앞,용산구,37.54079437,126.9978485,0,3,0,0,0,10
245,브라운스톤 남산아파트,용산구,37.551548,126.9768601,0,1,0,294,130.06,10
246,서빙고역 광장(1번출구),용산구,37.51990891,126.9892349,0,4,0,0,0,10
247,노들섬 동측 앞,용산구,37.51729584,126.9591446,0,2,0,0,1.02,10
248,노들섬 서측 앞,용산구,37.51731873,126.9582977,0,2,0,0,0,10
249, 숙명여대앞 버스정류소 주변,용산구,37.54498672,126.9643021,2,3,0,0,0,10
250, 한강GS에클라트 건너편 교통섬,용산구,37.53200531,126.9555588,0,3,0,33,211.845,10
251, 원효로다목적체육관 앞,용산구,37.5332222,126.9572372,0,1,0,30,401.64,15
252," 노들섬 다목적홀(동쪽) 숲, 앞",용산구,37.51758957,126.9592209,0,2,0,0,0,10
253, 국립중앙박물관 -용산가족공원 앞,용산구,37.52087784,126.9797134,1,1,0,0,0,10
254, 국립중앙박물관 정문 앞,용산구,37.52145767,126.9776764,0,1,0,0,0,10
255, 파크타워 104동 앞,용산구,37.52330017,126.9720612,0,0,0,323,496.18,10
256, 한남나인원 105동 앞,용산구,37.53591919,127.0054169,0,6,0,0,94.72,10
257, 국제루터교회 앞,용산구,37.54143906,127.0037613,0,3,0,10,158.19,10
258, 한남 준 JFSS 앞,용산구,37.53749847,127.0008469,0,2,0,39,187.52,8
259, 서울갤러리아 앞,용산구,37.53599548,126.9994888,0,1,0,13,133.34,7
260, 크라운호텔앞 버스정류소,용산구,37.53030014,126.9913788,0,3,0,6,199.06,7
261, 신용산지하차도 앞,용산구,37.53248215,126.964119,1,5,0,0,0,15
262, 동원베네스트 건너편,용산구,37.52761078,126.9551163,1,2,0,336,0,6
263, 풍전아파트 건너편,용산구,37.53237915,126.9525299,0,1,0,0,128.8,10
264, 한강트럼프월드3차 앞,용산구,37.52301788,126.96241,0,0,0,10,105.925,10
265, 삼각지역 14번 출구 앞(교통섬),용산구,37.53528595,126.974083,0,2,0,8,166.47,8
266, 남산도서관 앞,용산구,37.55240631,126.9820175,1,3,0,0,0,12
267, 한강중학교 앞 버스정류장,용산구,37.5251503,126.9920883,0,3,0,0,0,6
268, 라인프랜즈이태원점 앞,용산구,37.53453064,126.9961929,0,4,0,39,195,10
269, 용산공원갤러리앞,용산구,37.5393219,126.9731903,0,1,0,0,0,8
