,기준_날짜,기준_시간,시작_대여소,종료_대여소,전체건수,전체_이용_분,전체_이용_거리,전 체건수
8000301,20220627,2305,ST-420,ST-1968,,12,1335,1.0
8000302,20220627,845,ST-2815,ST-1968,,7,1140,1.0
8000303,20220627,2230,ST-2528,ST-214,,6,745,1.0
8000304,20220627,2140,ST-203,ST-214,,43,1500,1.0
8000305,20220627,725,ST-2161,ST-214,,7,1046,1.0
8000306,20220627,700,ST-213,ST-214,,1,400,1.0
8000307,20220627,940,ST-281,ST-1731,,6,1410,1.0
8000308,20220627,1935,ST-1733,ST-1731,,11,1990,1.0
8000309,20220627,2305,ST-2054,ST-1731,,82,9845,3.0
8000310,20220627,2120,ST-428,ST-1497,,17,1750,1.0
8000311,20220627,845,ST-2812,ST-1503,,8,1079,1.0
8000312,20220627,625,ST-281,ST-1503,,7,1140,1.0
8000313,20220627,1135,ST-759,ST-2355,,4,450,1.0
8000314,20220627,1550,ST-759,ST-2355,,6,460,1.0
8000315,20220627,705,ST-2948,ST-2355,,7,1040,1.0
8000316,20220627,1850,ST-39,ST-214,,12,1518,1.0
8000317,20220627,2330,ST-53,ST-214,,33,4930,1.0
8000318,20220627,900,ST-1492,ST-214,,5,780,1.0
8000319,20220627,2000,ST-2199,ST-214,,22,2600,1.0
8000320,20220627,55,ST-202,ST-213,,4,870,1.0
8000321,20220627,745,ST-2844,ST-1731,,12,1530,1.0
8000322,20220627,1055,ST-1994,ST-1731,,8,1265,1.0
8000323,20220627,625,ST-2007,ST-1503,,4,884,1.0
8000324,20220627,1320,ST-1505,ST-1995,,3,253,1.0
8000325,20220627,745,ST-752,ST-729,,8,1580,1.0
8000326,20220627,2310,ST-55,ST-729,,76,6743,1.0
8000327,20220627,855,ST-203,ST-213,,3,718,1.0
8000328,20220627,805,ST-214,ST-213,,2,381,1.0
8000329,20220627,1110,ST-205,ST-213,,9,1486,1.0
8000330,20220627,2315,ST-2818,ST-213,,28,5074,1.0
8000331,20220627,940,ST-2396,ST-1731,,8,1780,1.0
8000332,20220627,115,ST-1995,ST-1995,,153,7314,2.0
8000333,20220627,1320,ST-1731,ST-1995,,3,349,1.0
8000334,20220627,840,ST-1320,ST-1995,,10,1451,1.0
8000335,20220627,1845,ST-923,ST-2364,,13,1780,1.0
8000336,20220627,800,ST-2368,ST-2364,,4,830,1.0
8000337,20220627,1150,ST-1152,ST-2363,,5,570,1.0
8000338,20220627,2200,ST-2355,ST-2363,,3,410,1.0
8000339,20220627,20,ST-949,ST-2363,,11,1508,1.0
8000340,20220627,800,ST-519,ST-213,,47,10390,1.0
8000341,20220627,2200,ST-2879,ST-1731,,13,665,1.0
8000342,20220627,910,ST-1007,ST-1731,,24,4210,1.0
8000343,20220627,850,ST-1008,ST-2017,,12,1927,1.0
8000344,20220627,850,ST-1522,ST-1995,,26,5134,1.0
8000345,20220627,825,ST-2761,ST-1995,,11,1680,1.0
8000346,20220627,2255,ST-1018,ST-1995,,5,820,1.0
8000347,20220627,655,ST-1739,ST-2359,,8,995,1.0
8000348,20220627,2110,ST-1916,ST-2359,,21,1918,1.0
8000349,20220627,1840,ST-1914,ST-2359,,26,2370,1.0
8000350,20220627,2320,ST-760,ST-2359,,5,880,1.0
8000351,20220627,2040,ST-2976,ST-203,,5,1300,1.0
8000352,20220627,2155,ST-2976,ST-203,,5,1040,1.0
8000353,20220627,735,ST-214,ST-203,,6,1087,1.0
8000354,20220627,2155,ST-26,ST-203,,12,1599,1.0
8000355,20220627,2245,ST-2146,ST-203,,15,1610,1.0
8000356,20220627,800,ST-946,ST-203,,8,2042,1.0
8000357,20220627,2310,ST-1505,ST-2017,,6,350,1.0
8000358,20220627,930,ST-1000,ST-1995,,16,2860,1.0
8000359,20220627,1815,ST-2395,ST-1995,,14,1910,1.0
8000360,20220627,1850,ST-315,ST-1995,,8,1320,1.0
8000361,20220627,955,ST-2355,ST-2362,,3,570,1.0
8000362,20220627,1810,ST-2570,ST-2362,,36,6490,1.0
8000363,20220627,2135,ST-760,ST-2362,,56,4610,1.0
8000364,20220627,1135,ST-1307,ST-2362,,8,840,1.0
8000365,20220627,655,ST-2948,ST-2362,,4,870,1.0
8000366,20220627,535,ST-923,ST-2362,,5,556,1.0
8000367,20220627,1035,ST-214,ST-2528,,5,795,1.0
8000368,20220627,1520,ST-214,ST-2528,,13,1915,2.0
8000369,20220627,1005,ST-1996,ST-1996,,0,0,1.0
8000370,20220627,1740,ST-2770,ST-1016,,31,979,1.0
8000371,20220627,1915,ST-1500,ST-1016,,1,253,1.0
8000372,20220627,2225,ST-1350,ST-1016,,92,5320,1.0
8000373,20220627,815,ST-2008,ST-1016,,10,1649,1.0
